Product Title,Product Image URL,Price of the Product,Product Details
Concertino Bb Major: violin and orchestra. Réduction pour piano avec partie soliste.,https://m.media-amazon.com/images/I/71E2cXBJavL._SY385_.jpg,"28
76€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '28 pages', 'ISBN-10 :', '000103863X', 'ISBN-13 :', '979-0001038638', ""Poids de l'article :"", '80 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
"Concerto in E flat ""Dumbarton Oaks"": für Kammerorchester. Kammerorchester. Studienpartitur.: for chamber orchestra. Chamber Orchestra. Partition d'étude. (Musik unserer Zeit)",https://m.media-amazon.com/images/I/71CobUAs1ZL._SY385_.jpg,€18.00,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz; Das exakte Erscheinungsdatum ist leider unbekannt edition (19 July 1984)', 'Language :', 'French', 'Sheet music :', '44 pages', 'ISBN-10 :', '000104317X', 'ISBN-13 :', '978-0001043176']"
"Concerto in E flat ""Dumbarton Oaks"": for chamber orchestra. Chamber Orchestra. Partition d'étude.",https://m.media-amazon.com/images/I/71CobUAs1ZL._SY385_.jpg,"18
00€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '44 pages', 'ISBN-10 :', '000104317X', 'ISBN-13 :', '978-0001043176', ""Poids de l'article :"", '160 g']"
,,,[]
,,,[]
"Musik für Kinder: Im Fünftonraum. Vol. 1. Singstimme, Blockflöte und Schlagzeug. Sing- und Spielpartitur.: Im Fünftonraum. Vol. 1. voice, recorder and ... et instrumentale. (Orff-Schulwerk)",https://m.media-amazon.com/images/I/41utQ1UIu+L._SX550_.jpg,from €23.00,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (21 April 1980)', 'Language :', 'German', 'Sheet music :', '187 pages', 'ISBN-10 :', '000104348X', 'ISBN-13 :', '978-0001043480']"
Schulwerk vol. 1 (ted.) (orff/keetman),https://m.media-amazon.com/images/I/41utQ1UIu+L._SX550_.jpg,"30
26€","['Éditeur :', 'SCHOTT (1 janvier 2000)', 'Langue :', 'Allemand', 'Partition :', '187 pages', 'ISBN-10 :', '000104348X', 'ISBN-13 :', '978-0001043480', ""Poids de l'article :"", '500 g']"
,,,[]
,,,[]
,,,[]
,,,[]
"5 antike Oden: nach Gedichten von Sappho. op. 57. mittlere Frauenstimme, Viola und Klavier. mittel. Stimmensatz. (Edition Schott)",https://m.media-amazon.com/images/I/41uGG66YO-L._SY385_.jpg,from €34.00,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (7 May 1985)', 'Language :', 'German', 'Sheet music :', '32 pages', 'ISBN-10 :', '000104396X', 'ISBN-13 :', '978-0001043961']"
Funf antike oden op. 57 -ensemble de partitions,https://m.media-amazon.com/images/I/41uGG66YO-L._SY385_.jpg,"41
87€","['Éditeur :', 'SCHOTT (1 janvier 1985)', 'Langue :', 'Allemand', 'Partition :', '32 pages', 'ISBN-10 :', '000104396X', 'ISBN-13 :', '978-0001043961', ""Poids de l'article :"", '220 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
Deux etudes pour orgue: organ.,https://m.media-amazon.com/images/I/31Rwx1CFcwL._SX550_.jpg,"21
00€","['Editorial :', 'Schott (1 enero 2000)', 'Idioma :', 'Francés', 'Partitura :', '12 páginas', 'ISBN-10 :', '000106875X', 'ISBN-13 :', '978-0001068759', 'Peso del producto :', '140 g']"
Deux etudes pour orgue: organ.,https://m.media-amazon.com/images/I/31Rwx1CFcwL._SX550_.jpg,"21
00€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '12 pages', 'ISBN-10 :', '000106875X', 'ISBN-13 :', '978-0001068759', ""Poids de l'article :"", '140 g']"
Deux etudes pour orgue: organ.,https://m.media-amazon.com/images/I/31Rwx1CFcwL._SX550_.jpg,"21,00 €","['Editore :', 'Schott (1 gennaio 2000)', 'Lingua :', 'Francese', 'Spartito musicale :', '12 pagine', 'ISBN-10 :', '000106875X', 'ISBN-13 :', '978-0001068759', 'Peso articolo :', '140 g']"
,,,[]
,,,[]
,,,[]
,,,[]
COMPLETE SONGS WITH PIANO ACCOMPANIMENT BAND 2 CHANT,https://m.media-amazon.com/images/I/41K3KHLZHNL._SY385_.jpg,—,"['Publisher :', 'SCHOTT (1 Jan. 1983)', 'Language :', 'German', 'ISBN-10 :', '000107119X', 'ISBN-13 :', '979-0001071192']"
Complete songs with piano accompaniment band 2 chant,https://m.media-amazon.com/images/I/41K3KHLZHNL._SY385_.jpg,—,"['Éditeur :', 'Schott (1 janvier 1983)', 'Langue :', 'Allemand', 'ISBN-10 :', '000107119X', 'ISBN-13 :', '979-0001071192', ""Poids de l'article :"", '1,5 Kilograms']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
Orchester-Probespiel Kontrabass: Sammlung wichtiger Passagen aus der Opern- und Konzertliteratur. Kontrabass.,https://m.media-amazon.com/images/I/81JrCT67uXL._SY385_.jpg,€28.50,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz; 2. Auflage 2008 (29 Jun. 1992)', 'Language :', 'French', 'Sheet music :', '62 pages', 'ISBN-10 :', '000108142X', 'ISBN-13 :', '979-0001081429', 'Dimensions :', '20 x 14 x 4 cm']"
Test Pieces for orchestral Auditions Double Bass: Excerpts from the Operatic and Concert Repertoire. double bass.,https://m.media-amazon.com/images/I/81JrCT67uXL._SY385_.jpg,"desde 25,80 €","['Editorial :', 'Schott (1 enero 2000)', 'Idioma :', 'Francés', 'Partitura :', '62 páginas', 'ISBN-10 :', '000108142X', 'ISBN-13 :', '979-0001081429', 'Peso del producto :', '259 g', 'Dimensiones :', '20 x 14 x 4 cm']"
Test Pieces for orchestral Auditions Double Bass: Excerpts from the Operatic and Concert Repertoire. double bass.,https://m.media-amazon.com/images/I/81JrCT67uXL._SY385_.jpg,"à partir de 36,00 €","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '62 pages', 'ISBN-10 :', '000108142X', 'ISBN-13 :', '979-0001081429', ""Poids de l'article :"", '259 g', 'Dimensions :', '20 x 14 x 4 cm']"
,,,[]
,,,[]
Wir hören und spielen: Ein Weg zum absoluten Gehör. Band 3. Klavier.,https://m.media-amazon.com/images/I/A1H1tz3qROL._SX550_.jpg,€32.00,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (17 Jan. 1994)', 'Language :', 'German', 'Sheet music :', '136 pages', 'ISBN-10 :', '000108173X', 'ISBN-13 :', '978-0001081734']"
Wir horen und spielen band 3 piano,https://m.media-amazon.com/images/I/A1H1tz3qROL._SX550_.jpg,"32
00€","['Éditeur :', 'SCHOTT (1 janvier 1994)', 'Langue :', 'Allemand', 'Partition :', '136 pages', 'ISBN-10 :', '000108173X', 'ISBN-13 :', '978-0001081734', ""Poids de l'article :"", '550 g']"
"Mysteries of the Macabre: Three arias from the opera ""Le Grand Macabre"". trumpet in C and piano.",https://m.media-amazon.com/images/I/41usGis9EJL._SY385_.jpg,"310
12€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '32 pages', 'ISBN-10 :', '000108299X', 'ISBN-13 :', '978-0001082991', ""Poids de l'article :"", '240 g']"
"Mysteries of the Macabre: Three arias from the opera ""Le Grand Macabre"". trumpet in C and piano.",https://m.media-amazon.com/images/I/41usGis9EJL._SY385_.jpg,"490,50 €","['Editore :', 'Schott (1 gennaio 2000)', 'Lingua :', 'Francese', 'Spartito musicale :', '32 pagine', 'ISBN-10 :', '000108299X', 'ISBN-13 :', '978-0001082991', 'Peso articolo :', '240 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
"Fantasy C minor: BWV 906,1. piano.",https://m.media-amazon.com/images/I/41UAP-bQYZL._SY385_.jpg,"7
43€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '12 pages', 'ISBN-10 :', '000108657X', 'ISBN-13 :', '978-0001086579', ""Poids de l'article :"", '50 g', 'Dimensions :', '20 x 14 x 4 cm']"
"Fantasy C minor: BWV 906,1. piano.",https://m.media-amazon.com/images/I/71BOx8Tcl0L._SY385_.jpg,"5,50 €","['Editore :', 'SCHOTT (1 gennaio 2000)', 'Lingua :', 'Francese', 'Spartito musicale :', '12 pagine', 'ISBN-10 :', '000108657X', 'ISBN-13 :', '978-0001086579', 'Peso articolo :', '50 g', 'Dimensioni :', '20 x 14 x 4 cm']"
Le Coucou: Rondeau. Klavier.: Rondeau. piano. (Edition Schott Einzelausgabe),https://m.media-amazon.com/images/I/41am5Cllb9L._SY385_.jpg,€5.50,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (6 Jan. 1984)', 'Language :', 'French', 'Sheet music :', '8 pages', 'ISBN-10 :', '000108660X', 'ISBN-13 :', '978-0001086609']"
Le Coucou: Rondeau. piano.,https://m.media-amazon.com/images/I/41am5Cllb9L._SY385_.jpg,"49
32€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '8 pages', 'ISBN-10 :', '000108660X', 'ISBN-13 :', '978-0001086609', ""Poids de l'article :"", '60 g']"
Adelaide: op. 46. mittlere Singstimme und Klavier.: op. 46. medium voice and piano. moyenne. (Edition Schott Einzelausgabe),https://m.media-amazon.com/images/I/41xKuC0ophL._SY385_.jpg,€6.50,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (30 Jun. 1976)', 'Language :', 'German, English, French', 'Sheet music :', '12 pages', 'ISBN-10 :', '000108688X', 'ISBN-13 :', '978-0001086883']"
Adelaide op.46,https://m.media-amazon.com/images/I/41xKuC0ophL._SY385_.jpg,"6
50€","['Éditeur :', 'SCHOTT (1 janvier 2000)', 'Langue :', 'Allemand, Anglais, Français', 'Partition :', '12 pages', 'ISBN-10 :', '000108688X', 'ISBN-13 :', '978-0001086883', ""Poids de l'article :"", '40 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
Cavatine: op. 85/3. Violine (Violoncello) und Klavier.: op. 85/3. violin (cello) and piano. (Edition Schott Einzelausgabe),https://m.media-amazon.com/images/I/61XIui5NYiL._SY385_.jpg,€5.50,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (15 Mar. 1979)', 'Language :', 'French', 'Sheet music :', '8 pages', 'ISBN-10 :', '000108898X', 'ISBN-13 :', '979-0001088985']"
Cavatine: op. 85/3. violin (cello) and piano.,https://m.media-amazon.com/images/I/61XIui5NYiL._SY385_.jpg,"10
11€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '8 pages', 'ISBN-10 :', '000108898X', 'ISBN-13 :', '979-0001088985', ""Poids de l'article :"", '60 g']"
,,,[]
,,,[]
Gnomenreigen: Konzert-Etüde. Klavier.: Concert Study. piano. (Edition Schott Einzelausgabe),https://m.media-amazon.com/images/I/31MRQCIANML._SY385_.jpg,€13.49,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (15 Mar. 1978)', 'Language :', 'French', 'Sheet music :', '12 pages', 'ISBN-10 :', '000108917X', 'ISBN-13 :', '978-0001089174']"
Dance of the Gnomes: Concert Study. piano.,https://m.media-amazon.com/images/I/31MRQCIANML._SY385_.jpg,"à partir de 10,60 €","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '12 pages', 'ISBN-10 :', '000108917X', 'ISBN-13 :', '978-0001089174', ""Poids de l'article :"", '100 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
Moto perpetuo: op. 11. Violine und Klavier. (Edition Schott Einzelausgabe),https://m.media-amazon.com/images/I/51Ki2C0PQML._SY385_.jpg,€6.50,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (26 Aug. 1985)', 'Language :', 'French', 'Sheet music :', '16 pages', 'ISBN-10 :', '000109212X', 'ISBN-13 :', '978-0001092129']"
Moto perpetuo: op. 11. violin and piano.,https://m.media-amazon.com/images/I/51Ki2C0PQML._SY385_.jpg,"78
58€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '16 pages', 'ISBN-10 :', '000109212X', 'ISBN-13 :', '978-0001092129', ""Poids de l'article :"", '160 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
Happy Birthday: Humoristische Variationen über ein Geburtstagslied. Klavier 4-händig.: Humorous Variations on a Birthday Song. piano (4 hands). (Edition Schott Einzelausgabe),https://m.media-amazon.com/images/I/61HW5XNrRNL._SY385_.jpg,€6.50,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (13 Jan. 1988)', 'Language :', 'French', 'Sheet music :', '16 pages', 'ISBN-10 :', '000109257X', 'ISBN-13 :', '978-0001092570']"
Happy Birthday: Humorous Variations on a Birthday Song. piano (4 hands).,https://m.media-amazon.com/images/I/61HW5XNrRNL._SY385_.jpg,"78
58€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '16 pages', 'ISBN-10 :', '000109257X', 'ISBN-13 :', '978-0001092570', ""Poids de l'article :"", '60 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
6 Duos: op. 1. 2 Flöten. Spielpartitur.: op. 1. 2 flutes. Partition d'exécution. (Edition Schott),https://m.media-amazon.com/images/I/31Q9WTNcBNL._SY385_.jpg,€24.50,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (8 Mar. 1994)', 'Language :', 'French', 'Sheet music :', '56 pages', 'ISBN-10 :', '000109453X', 'ISBN-13 :', '978-0001094536']"
Six Duos: op. 1. 2 flutes. Partition d'exécution.,https://m.media-amazon.com/images/I/31Q9WTNcBNL._SY385_.jpg,"289
02€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '56 pages', 'ISBN-10 :', '000109453X', 'ISBN-13 :', '978-0001094536', ""Poids de l'article :"", '220 g']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
Csárdás-Kompositionen: Klarinette und Klavier.: clarinet and piano. (Edition Schott),https://m.media-amazon.com/images/I/41vzotqLOgL._SY385_.jpg,€16.00,"['Publisher :', 'SCHOTT MUSIC GmbH & Co KG, Mainz (3 Oct. 1988)', 'Language :', 'French', 'Sheet music :', '31 pages', 'ISBN-10 :', '000109825X', 'ISBN-13 :', '979-0001098250']"
Csárdás-Compositions: clarinet and piano.,https://m.media-amazon.com/images/I/41vzotqLOgL._SY385_.jpg,"17
00€","['Éditeur :', 'Schott (1 janvier 2000)', 'Langue :', 'Français', 'Partition :', '31 pages', 'ISBN-10 :', '000109825X', 'ISBN-13 :', '979-0001098250', ""Poids de l'article :"", '1 Kilograms']"
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
,,,[]
